Time,Title,Content,URL
"10:26  AM ET Thu,  8 Feb 2018","Why cool the economy down now, Fed's Kashkari asks",Minneapolis Federal Reserve Bank President Neel Kashkari said he does not think the Fed should raise rates unless wages and inflation start to take off.,https://www.cnbc.com/2018/02/08/why-cool-the-economy-down-now-feds-kashkari-asks.html
"8:20  AM ET Thu,  8 Feb 2018","Fed won't overreact to good economic news, Williams says","The Federal Reserve will stick to its plan for ""steady, gradual"" interest-rate increases, a Fed policymaker said.",https://www.cnbc.com/2018/02/08/fed-wont-overreact-to-good-economic-news-williams-says.html
"7:38  AM ET Thu,  8 Feb 2018",Fed is likely to continue raising rates: Kaplan,"Economic growth in the U.S. may peak this year and could slow in the coming two years, Dallas Fed President Robert S. Kaplan said Thursday.",https://www.cnbc.com/2018/02/08/us-growth-could-slip-in-coming-two-years-kaplan.html
"5:07  PM ET Wed,  7 Feb 2018",New Fed Chairman Powell could have a few surprises in store for the market,"New Fed Chairman Jerome Powell may have a few surprises in store, judging by past statements he has made and some whispers on Wall Street.",https://www.cnbc.com/2018/02/07/fed-chairman-powell-could-have-a-few-surprises-in-store-for-the-market.html
"9:41  AM ET Wed,  7 Feb 2018","'Bad' incentives, poor communication behind the Wells Fargo sales scandal: Fed's Dudley","Bad incentive structures for employees and a lack of communication to management contributed to Wells Fargo's sales practices scandal, the Fed's William Dudley said.",https://www.cnbc.com/2018/02/07/bad-incentives-poor-communication-behind-wells-fargo-sales-scandal-feds-dudley.html
"12:01  AM ET Fri,  2 March 2018",Americans borrow record amounts for auto loans even as interest rates rise,"Despite rising interest rates, Americans are borrowing more than ever to buy new and used vehicles.",https://www.cnbc.com/2018/03/01/americans-borrow-record-amounts-for-autos-even-as-interest-rates-rise.html
"9:10  AM ET Fri,  2 March 2018","New head, new Fed? How Powell is ushering in a new era at the Federal Reserve","It appears Powell is ushering in an entirely different era at the Fed, in more ways than the obvious transition.",https://www.cnbc.com/2018/03/02/new-head-new-fed-how-powell-is-ushering-in-a-new-era.html
"5:24  PM ET Fri,  2 March 2018",Goldman: 'Good chance' this leads to NAFTA withdrawal,"President Donald Trump's decision to impose tariffs on steel and aluminum likely precedes an exit from NAFTA, according to Goldman Sachs.",https://www.cnbc.com/2018/03/02/goldman-good-chance-this-leads-to-nafta-withdrawal.html
"10:48  AM ET Fri,  2 March 2018",Former Trump and Obama advisors both blast China as biggest trade cheater but differ on the remedies,The big question is whether the Trump administration will give favored trade partners like Canada an exemption from the tariffs.,https://www.cnbc.com/2018/03/02/former-trump-and-obama-advisors-both-blast-trade-cheating-china.html
"11:51  AM ET Fri,  2 March 2018",What Hollywood can teach Trump about trade,"Trump should tune into the Academy Awards on Sunday. Movie exports help narrow America's trade deficits, says Kabir Sehgal.",https://www.cnbc.com/2018/03/02/what-the-academy-awards-and-hollywood-can-teach-trump-about-trade-commentary.html
"11:27  AM ET Fri,  2 March 2018","Top bank CEO: Trumpxe2x80x99s tariffs are a 'huge, huge mistakexe2x80x99","A top U.S. bank CEO tells CNBC that Trump's tariff plan will have ""global repercussions.""",https://www.cnbc.com/2018/03/02/top-bank-ceo-trumps-tariffs-are-a-huge-huge-mistake.html
"12:10  PM ET Fri,  2 March 2018",Arthur Laffer: Puerto Rico's 'shortsighted' fiscal plan totally 'misses the mark',"Accuracy and transparency have been lacking from the very beginning of this process, says economist Arthur Laffer.",https://www.cnbc.com/2018/03/02/puerto-ricos-new-fiscal-plan-misses-the-mark-commentary.html
"2:59  PM ET Fri,  2 March 2018","Steel tariffs won't help Trump achieve his goal of 'American energy dominance,' oil industry warns","President Trump's plan to slap tariffs on steel imports threatens his quest for ""American energy dominance,"" energy groups say.",https://www.cnbc.com/2018/03/02/steel-tariffs-wont-help-trump-achieve-american-energy-dominance.html
"12:34  PM ET Thu,  1 March 2018",New Fed chairman says Amazon helped keep inflation low,"Federal Reserve Chairman Jerome Powell says oil prices, e-commerce and labor slack were factors in keeping inflation low.",https://www.cnbc.com/2018/03/01/new-fed-chairman-says-amazon-helped-keep-inflation-low.html
"12:35  PM ET Thu,  1 March 2018",Fed Chair Powell: No evidence of 'decisive' move in wages or that economy is overheating,"Federal Reserve Chairman Jerome Powell said Thursday that there are no ""decisive"" signs of wage inflation yet.rnrn",https://www.cnbc.com/2018/03/01/fed-chair-powell-no-evidence-of-decisive-move-up-in-wages.html
